               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093513,              36.297,            0.056022,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070155,           0.0033162,           0.0033162
                   1,             0.18557,              32.487,             0.10985,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040023,           0.0065178,           0.0065178
                   2,             0.21321,              25.902,             0.13017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097593,           0.0095875,           0.0095875
                   3,             0.25636,               13.29,             0.15665,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.16169,              2.2204,             0.10339,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.19236,             0.26513,             0.12409,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.090732,             0.11238,             0.05778,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.046119,            0.056474,            0.028384,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.12505,              0.1425,            0.076735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.04124,             0.05123,            0.023659,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.20214,             0.25734,             0.12626,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.66432,             0.87461,             0.41244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              1.1761,              1.4208,                0.64,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              1.8866,              2.2594,              0.9219,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,              1.9685,              2.5829,              0.9804,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              1.9688,              2.4468,             0.82075,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,              2.6338,              3.2424,             0.98904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,              2.6234,              3.4035,              1.0277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,              2.4737,              3.2537,              0.9528,            0.021219,             0.50641,             0.02843,            0.010507,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,              2.4494,              3.2602,             0.95759,             0.01886,             0.54487,            0.043722,            0.016087,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,              2.5506,              3.3957,              1.0226,            0.015457,             0.52564,             0.03274,            0.012619,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,              2.5907,              3.3871,               1.054,            0.014591,             0.48077,            0.038004,            0.017112,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,               2.438,               3.115,             0.90535,            0.018979,             0.55769,            0.060336,            0.026577,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,              2.4319,               3.127,             0.92431,            0.024059,             0.58974,              0.1106,            0.036388,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,              2.3884,              3.0518,             0.95084,            0.021902,             0.52564,             0.14541,            0.064651,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,              2.4963,              2.9167,             0.98379,            0.054878,             0.57692,             0.19148,             0.08732,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,              2.2986,              2.7968,             0.94803,            0.028666,             0.55769,             0.21403,            0.085356,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,              2.3493,              2.7489,             0.93558,            0.044185,             0.55769,             0.20679,             0.10408,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,              2.3527,              2.7242,             0.93637,            0.023729,             0.58333,             0.19001,            0.079176,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,              2.4039,              2.7034,             0.95635,            0.032514,             0.57692,             0.22552,             0.08979,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,              2.2758,              2.5085,             0.94048,             0.06383,             0.55769,             0.32723,              0.1327,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,              2.2885,              2.5323,             0.96805,             0.04206,             0.57051,             0.36036,             0.16443,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  32,              2.2271,              2.4722,             0.91104,            0.038249,             0.57692,             0.29043,             0.13226,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  33,              2.3402,              2.4428,              0.9144,            0.030555,             0.58974,             0.29131,             0.12638,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  34,              2.2975,              2.3544,             0.93967,            0.044476,             0.60897,             0.34968,             0.16202,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  35,              2.0939,                2.33,             0.89144,             0.10577,             0.58333,              0.3805,             0.17562,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  36,              2.1999,               2.304,             0.90907,            0.098365,             0.59615,             0.36601,              0.1562,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  37,              2.1748,              2.2449,             0.88016,              0.3269,             0.51282,             0.39746,             0.17381,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  38,              2.1663,              2.3548,             0.94803,             0.25518,             0.53205,             0.37694,             0.17948,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  39,              2.0287,              2.2279,             0.95272,             0.40759,             0.51923,             0.40868,             0.19257,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  40,              2.2668,              2.3224,               0.953,              0.4673,             0.54487,             0.47173,             0.21923,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              2.1427,              2.1419,             0.92971,             0.45608,             0.55769,             0.45883,             0.19337,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,               2.248,              2.1915,             0.95924,             0.28063,             0.57051,             0.42076,             0.17592,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              2.3682,              2.2358,              1.0386,             0.61357,             0.51923,             0.49244,             0.23555,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              2.2239,              2.0969,             0.89932,              0.5943,             0.54487,             0.51714,             0.23523,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              2.2084,              2.1111,             0.91328,              0.6112,             0.53846,             0.51399,             0.24203,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              2.1672,               2.105,             0.93254,             0.63784,             0.54487,             0.51773,             0.24194,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,              2.2587,              2.1195,             0.97899,             0.66511,             0.55128,             0.53862,             0.25705,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              2.1696,              2.1399,             0.97941,             0.67225,             0.56538,             0.51521,             0.25441,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              2.1117,              2.0525,             0.94651,             0.67833,             0.52564,             0.54098,             0.26079,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
